sku_id;product_name;category;unit_of_measure;lead_time_days;economic_order_quantity;shelf_life_days;cost_price;estabelecimento_recomendacao;comunidade_recomendacao;descricao_produto;store_recommendation;community_recommendation;product_description
3103319;Classic Bed Flicks khaki;Casas-Camas-Cachorros;un;8;100;730;153.75;O estabelecimento recomenda Cama Clássica Flicks Cáqui para casas camas cachorros pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 8 dias.;A comunidade de cuidadores de pets avalia em 4/5, elogiando qualidade e durabilidade do produto Cama Clássica Flicks Cáqui.;Cama Clássica Flicks Cáqui é um item da categoria casas camas cachorros com validade de 730 dias e custo aproximado de R$153.75. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Cama Clássica Flicks Cáqui for casas camas cachorros due to high demand and great cost-benefit. Stock usually replenished in 8 days.;The pet caregivers community rates it 4/5, praising the quality and durability of the product Cama Clássica Flicks Cáqui.;Cama Clássica Flicks Cáqui belongs to the casas camas cachorros category, with a shelf life of 730 days and an approximate cost of $153.75. Perfect to meet your pet's specific needs with safety and comfort.
1032666;Cama Oval Flicks Verde;Casas-Camas-Gatos;un;11;100;730;171.09;O estabelecimento recomenda Cama Oval Flicks Verde para casas camas gatos pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 11 dias.;A comunidade de cuidadores de pets avalia em 4/5, elogiando qualidade e durabilidade do produto Cama Oval Flicks Verde.;Cama Oval Flicks Verde é um item da categoria casas camas gatos com validade de 730 dias e custo aproximado de R$171.09. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Cama Oval Flicks Verde for casas camas gatos due to high demand and great cost-benefit. Stock usually replenished in 11 days.;The pet caregivers community rates it 4.5/5, praising the quality and durability of the product Cama Oval Flicks Verde.;Cama Oval Flicks Verde belongs to the casas camas gatos category, with a shelf life of 730 days and an approximate cost of $171.09. Perfect to meet your pet's specific needs with safety and comfort.
1032151;Dental gel 1 month+ mite of affection soft care care baby;Hygiene-Lumpeza-Gatos;un;13;10;730;149.85;O estabelecimento recomenda Gel Dental 1 Mês+ Mordisco de Carinho Soft Care Baby para higiene limpeza gatos pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 13 dias.;A comunidade de cuidadores de pets avalia em 5/5, elogiando qualidade e durabilidade do produto Gel Dental 1 Mês+ Mordisco de Carinho Soft Care Baby.;Gel Dental 1 Mês+ Mordisco de Carinho Soft Care Baby é um item da categoria higiene limpeza gatos com validade de 730 dias e custo aproximado de R$149.85. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Gel Dental 1 Mês+ Mordisco de Carinho Soft Care Baby for higiene limpeza gatos due to high demand and great cost-benefit. Stock usually replenished in 13 days.;The pet caregivers community rates it 4/5, praising the quality and durability of the product Gel Dental 1 Mês+ Mordisco de Carinho Soft Care Baby.;Gel Dental 1 Mês+ Mordisco de Carinho Soft Care Baby belongs to the higiene limpeza gatos category, with a shelf life of 730 days and an approximate cost of $149.85. Perfect to meet your pet's specific needs with safety and comfort.
3144976;Hepvet Supplement;Cachorros Medicines;un;13;100;730;106.3;O estabelecimento recomenda Suplemento Hepvet para medicamentos cachorros pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 13 dias.;A comunidade de cuidadores de pets avalia em 4/5, elogiando qualidade e durabilidade do produto Suplemento Hepvet.;Suplemento Hepvet é um item da categoria medicamentos cachorros com validade de 730 dias e custo aproximado de R$106.30. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Suplemento Hepvet for medicamentos cachorros due to high demand and great cost-benefit. Stock usually replenished in 13 days.;The pet caregivers community rates it 4/5, praising the quality and durability of the product Suplemento Hepvet.;Suplemento Hepvet belongs to the medicamentos cachorros category, with a shelf life of 730 days and an approximate cost of $106.30. Perfect to meet your pet's specific needs with safety and comfort.
1027300;Educator Hexis here Bellokão;Hygiene-Cachorros;un;6;10;730;70.81;O estabelecimento recomenda Educador Xixi Aqui Bellokão para higiene limpeza cachorros pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 6 dias.;A comunidade de cuidadores de pets avalia em 4/5, elogiando qualidade e durabilidade do produto Educador Xixi Aqui Bellokão.;Educador Xixi Aqui Bellokão é um item da categoria higiene limpeza cachorros com validade de 730 dias e custo aproximado de R$70.81. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Educador Xixi Aqui Bellokão for higiene limpeza cachorros due to high demand and great cost-benefit. Stock usually replenished in 6 days.;The pet caregivers community rates it 5/5, praising the quality and durability of the product Educador Xixi Aqui Bellokão.;Educador Xixi Aqui Bellokão belongs to the higiene limpeza cachorros category, with a shelf life of 730 days and an approximate cost of $70.81. Perfect to meet your pet's specific needs with safety and comfort.
3106514;Anti-inflammatory azium dogs and cats;Medications-GATOS;un;14;50;730;22.78;O estabelecimento recomenda Anti-Inflamatório Azium Cães e Gatos para medicamentos gatos pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 14 dias.;A comunidade de cuidadores de pets avalia em 4.5/5, elogiando qualidade e durabilidade do produto Anti-Inflamatório Azium Cães e Gatos.;Anti-Inflamatório Azium Cães e Gatos é um item da categoria medicamentos gatos com validade de 730 dias e custo aproximado de R$22.78. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Anti-Inflamatório Azium Cães e Gatos for medicamentos gatos due to high demand and great cost-benefit. Stock usually replenished in 14 days.;The pet caregivers community rates it 5/5, praising the quality and durability of the product Anti-Inflamatório Azium Cães e Gatos.;Anti-Inflamatório Azium Cães e Gatos belongs to the medicamentos gatos category, with a shelf life of 730 days and an approximate cost of $22.78. Perfect to meet your pet's specific needs with safety and comfort.
1021806;Spray for bad breath splash soft care;Hygiene-Cachorros;un;9;50;730;176.29;O estabelecimento recomenda Spray para Mau Hálito Dental Splash Soft Care para higiene limpeza cachorros pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 9 dias.;A comunidade de cuidadores de pets avalia em 5/5, elogiando qualidade e durabilidade do produto Spray para Mau Hálito Dental Splash Soft Care.;Spray para Mau Hálito Dental Splash Soft Care é um item da categoria higiene limpeza cachorros com validade de 730 dias e custo aproximado de R$176.29. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Spray para Mau Hálito Dental Splash Soft Care for higiene limpeza cachorros due to high demand and great cost-benefit. Stock usually replenished in 9 days.;The pet caregivers community rates it 5/5, praising the quality and durability of the product Spray para Mau Hálito Dental Splash Soft Care.;Spray para Mau Hálito Dental Splash Soft Care belongs to the higiene limpeza cachorros category, with a shelf life of 730 days and an approximate cost of $176.29. Perfect to meet your pet's specific needs with safety and comfort.
3109785;Pyter wood screw for poultry toy for bird;passer;un;6;100;730;73.69;O estabelecimento recomenda Poleiro Parafuso De Madeira Para Aves Toy For Bird para passaros pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 6 dias.;A comunidade de cuidadores de pets avalia em 4/5, elogiando qualidade e durabilidade do produto Poleiro Parafuso De Madeira Para Aves Toy For Bird.;Poleiro Parafuso De Madeira Para Aves Toy For Bird é um item da categoria passaros com validade de 730 dias e custo aproximado de R$73.69. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Poleiro Parafuso De Madeira Para Aves Toy For Bird for passaros due to high demand and great cost-benefit. Stock usually replenished in 6 days.;The pet caregivers community rates it 5/5, praising the quality and durability of the product Poleiro Parafuso De Madeira Para Aves Toy For Bird.;Poleiro Parafuso De Madeira Para Aves Toy For Bird belongs to the passaros category, with a shelf life of 730 days and an approximate cost of $73.69. Perfect to meet your pet's specific needs with safety and comfort.
1033178;Myhug;Hygiene-Lumpeza-Gatos;un;11;50;730;174.13;O estabelecimento recomenda Copo Lava-Patas MyHug para higiene limpeza gatos pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 11 dias.;A comunidade de cuidadores de pets avalia em 5/5, elogiando qualidade e durabilidade do produto Copo Lava-Patas MyHug.;Copo Lava-Patas MyHug é um item da categoria higiene limpeza gatos com validade de 730 dias e custo aproximado de R$174.13. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Copo Lava-Patas MyHug for higiene limpeza gatos due to high demand and great cost-benefit. Stock usually replenished in 11 days.;The pet caregivers community rates it 4/5, praising the quality and durability of the product Copo Lava-Patas MyHug.;Copo Lava-Patas MyHug belongs to the higiene limpeza gatos category, with a shelf life of 730 days and an approximate cost of $174.13. Perfect to meet your pet's specific needs with safety and comfort.
966041;Royal Canin Cats Ration Puppies;rackets;kg;9;300;365;110.78;O estabelecimento recomenda Ração Royal Canin Gatos Filhotes para racoes gatos pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 9 dias.;A comunidade de cuidadores de pets avalia em 4/5, elogiando qualidade e durabilidade do produto Ração Royal Canin Gatos Filhotes.;Ração Royal Canin Gatos Filhotes é um item da categoria racoes gatos com validade de 365 dias e custo aproximado de R$110.78. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Ração Royal Canin Gatos Filhotes for racoes gatos due to high demand and great cost-benefit. Stock usually replenished in 9 days.;The pet caregivers community rates it 4/5, praising the quality and durability of the product Ração Royal Canin Gatos Filhotes.;Ração Royal Canin Gatos Filhotes belongs to the racoes gatos category, with a shelf life of 365 days and an approximate cost of $110.78. Perfect to meet your pet's specific needs with safety and comfort.
3078554;Stick OnebyOne Denta Bite Spin Pet;Snacks-Cachorros;un;6;150;180;35.66;O estabelecimento recomenda Stick OnebyOne Denta Bite Spin Pet para petiscos cachorros pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 6 dias.;A comunidade de cuidadores de pets avalia em 4.5/5, elogiando qualidade e durabilidade do produto Stick OnebyOne Denta Bite Spin Pet.;Stick OnebyOne Denta Bite Spin Pet é um item da categoria petiscos cachorros com validade de 180 dias e custo aproximado de R$35.66. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Stick OnebyOne Denta Bite Spin Pet for petiscos cachorros due to high demand and great cost-benefit. Stock usually replenished in 6 days.;The pet caregivers community rates it 4/5, praising the quality and durability of the product Stick OnebyOne Denta Bite Spin Pet.;Stick OnebyOne Denta Bite Spin Pet belongs to the petiscos cachorros category, with a shelf life of 180 days and an approximate cost of $35.66. Perfect to meet your pet's specific needs with safety and comfort.
1029129;Octa Pet Games;Casas-Camas-Gatos;un;13;100;730;45.93;O estabelecimento recomenda Toca Octa para Gato Pet Games para casas camas gatos pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 13 dias.;A comunidade de cuidadores de pets avalia em 4.5/5, elogiando qualidade e durabilidade do produto Toca Octa para Gato Pet Games.;Toca Octa para Gato Pet Games é um item da categoria casas camas gatos com validade de 730 dias e custo aproximado de R$45.93. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Toca Octa para Gato Pet Games for casas camas gatos due to high demand and great cost-benefit. Stock usually replenished in 13 days.;The pet caregivers community rates it 5/5, praising the quality and durability of the product Toca Octa para Gato Pet Games.;Toca Octa para Gato Pet Games belongs to the casas camas gatos category, with a shelf life of 730 days and an approximate cost of $45.93. Perfect to meet your pet's specific needs with safety and comfort.
2853142;Colorbits granules tetra feed;fish;kg;5;10;730;25.04;O estabelecimento recomenda Ração Colorbits Granules Tetra para peixes pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 5 dias.;A comunidade de cuidadores de pets avalia em 4.5/5, elogiando qualidade e durabilidade do produto Ração Colorbits Granules Tetra.;Ração Colorbits Granules Tetra é um item da categoria peixes com validade de 730 dias e custo aproximado de R$25.04. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Ração Colorbits Granules Tetra for peixes due to high demand and great cost-benefit. Stock usually replenished in 5 days.;The pet caregivers community rates it 4.5/5, praising the quality and durability of the product Ração Colorbits Granules Tetra.;Ração Colorbits Granules Tetra belongs to the peixes category, with a shelf life of 730 days and an approximate cost of $25.04. Perfect to meet your pet's specific needs with safety and comfort.
3129705;Vetmedin Boehringer Ingelheim 50 tablets;Cachorros Medicines;un;12;10;730;101.19;O estabelecimento recomenda Vetmedin Boehringer Ingelheim 50 comprimidos para medicamentos cachorros pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 12 dias.;A comunidade de cuidadores de pets avalia em 4.5/5, elogiando qualidade e durabilidade do produto Vetmedin Boehringer Ingelheim 50 comprimidos.;Vetmedin Boehringer Ingelheim 50 comprimidos é um item da categoria medicamentos cachorros com validade de 730 dias e custo aproximado de R$101.19. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Vetmedin Boehringer Ingelheim 50 comprimidos for medicamentos cachorros due to high demand and great cost-benefit. Stock usually replenished in 12 days.;The pet caregivers community rates it 5/5, praising the quality and durability of the product Vetmedin Boehringer Ingelheim 50 comprimidos.;Vetmedin Boehringer Ingelheim 50 comprimidos belongs to the medicamentos cachorros category, with a shelf life of 730 days and an approximate cost of $101.19. Perfect to meet your pet's specific needs with safety and comfort.
3022385;Half Shoe Homepet Pink;CAUCHORROS CLOTHES;un;8;50;9999;89.46;O estabelecimento recomenda Meia Sapato HomePet Rosa para roupas acessorios cachorros pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 8 dias.;A comunidade de cuidadores de pets avalia em 4.5/5, elogiando qualidade e durabilidade do produto Meia Sapato HomePet Rosa.;Meia Sapato HomePet Rosa é um item da categoria roupas acessorios cachorros com validade de 9999 dias e custo aproximado de R$89.46. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Meia Sapato HomePet Rosa for roupas acessorios cachorros due to high demand and great cost-benefit. Stock usually replenished in 8 days.;The pet caregivers community rates it 5/5, praising the quality and durability of the product Meia Sapato HomePet Rosa.;Meia Sapato HomePet Rosa belongs to the roupas acessorios cachorros category, with a shelf life of 9999 days and an approximate cost of $89.46. Perfect to meet your pet's specific needs with safety and comfort.
854519;Walk and Play for Pet 3 in 1 Black 02 Simba Dog;Casas-Camas-Cachorros;un;6;100;730;160.35;O estabelecimento recomenda Caminha e Toca para Pet 3 em 1 Preto 02 Simba Dog para casas camas cachorros pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 6 dias.;A comunidade de cuidadores de pets avalia em 5/5, elogiando qualidade e durabilidade do produto Caminha e Toca para Pet 3 em 1 Preto 02 Simba Dog.;Caminha e Toca para Pet 3 em 1 Preto 02 Simba Dog é um item da categoria casas camas cachorros com validade de 730 dias e custo aproximado de R$160.35. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Caminha e Toca para Pet 3 em 1 Preto 02 Simba Dog for casas camas cachorros due to high demand and great cost-benefit. Stock usually replenished in 6 days.;The pet caregivers community rates it 5/5, praising the quality and durability of the product Caminha e Toca para Pet 3 em 1 Preto 02 Simba Dog.;Caminha e Toca para Pet 3 em 1 Preto 02 Simba Dog belongs to the casas camas cachorros category, with a shelf life of 730 days and an approximate cost of $160.35. Perfect to meet your pet's specific needs with safety and comfort.
3106537;Capstar 11.4 mg: for dogs and cats up to 11.4 kg;Medications-GATOS;un;6;50;730;41.39;O estabelecimento recomenda Capstar 11,4 mg: para cães e gatos de até 11,4 kg para medicamentos gatos pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 6 dias.;A comunidade de cuidadores de pets avalia em 4/5, elogiando qualidade e durabilidade do produto Capstar 11,4 mg: para cães e gatos de até 11,4 kg.;Capstar 11,4 mg: para cães e gatos de até 11,4 kg é um item da categoria medicamentos gatos com validade de 730 dias e custo aproximado de R$41.39. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Capstar 11,4 mg: para cães e gatos de até 11,4 kg for medicamentos gatos due to high demand and great cost-benefit. Stock usually replenished in 6 days.;The pet caregivers community rates it 4.5/5, praising the quality and durability of the product Capstar 11,4 mg: para cães e gatos de até 11,4 kg.;Capstar 11,4 mg: para cães e gatos de até 11,4 kg belongs to the medicamentos gatos category, with a shelf life of 730 days and an approximate cost of $41.39. Perfect to meet your pet's specific needs with safety and comfort.
3147300;Whiskas snack temptations anti ball by cats adults;snacks;un;3;50;180;32.26;O estabelecimento recomenda Petisco Whiskas Temptations Anti Bola de Pelo Gatos Adultos para petiscos gatos pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 3 dias.;A comunidade de cuidadores de pets avalia em 4.5/5, elogiando qualidade e durabilidade do produto Petisco Whiskas Temptations Anti Bola de Pelo Gatos Adultos.;Petisco Whiskas Temptations Anti Bola de Pelo Gatos Adultos é um item da categoria petiscos gatos com validade de 180 dias e custo aproximado de R$32.26. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Petisco Whiskas Temptations Anti Bola de Pelo Gatos Adultos for petiscos gatos due to high demand and great cost-benefit. Stock usually replenished in 3 days.;The pet caregivers community rates it 5/5, praising the quality and durability of the product Petisco Whiskas Temptations Anti Bola de Pelo Gatos Adultos.;Petisco Whiskas Temptations Anti Bola de Pelo Gatos Adultos belongs to the petiscos gatos category, with a shelf life of 180 days and an approximate cost of $32.26. Perfect to meet your pet's specific needs with safety and comfort.
3132870;Golden Power Training Puppies Chicken and Rice;rackets-cachorros;kg;5;200;365;155.92;O estabelecimento recomenda Ração Golden Power Training Filhotes Frango e Arroz para racoes cachorros pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 5 dias.;A comunidade de cuidadores de pets avalia em 4/5, elogiando qualidade e durabilidade do produto Ração Golden Power Training Filhotes Frango e Arroz.;Ração Golden Power Training Filhotes Frango e Arroz é um item da categoria racoes cachorros com validade de 365 dias e custo aproximado de R$155.92. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Ração Golden Power Training Filhotes Frango e Arroz for racoes cachorros due to high demand and great cost-benefit. Stock usually replenished in 5 days.;The pet caregivers community rates it 4.5/5, praising the quality and durability of the product Ração Golden Power Training Filhotes Frango e Arroz.;Ração Golden Power Training Filhotes Frango e Arroz belongs to the racoes cachorros category, with a shelf life of 365 days and an approximate cost of $155.92. Perfect to meet your pet's specific needs with safety and comfort.
